NAME,CLUB,LEAGUE,POSITION,TIER
Pelé,Icons,Icons,CAM,Gold
Diego Maradona,Icons,Icons,CAM,Gold
Ronaldo,Icons,Icons,ST,Gold
Zinedine Zidane,Icons,Icons,CAM,Gold
Lionel Messi,FC Barcelona,Spain Primera Division,RW,Gold
Lionel Messi,FC Barcelona,Spain Primera Division,RW,Gold
Diego Maradona,Icons,Icons,CAM,Gold
Pelé,Icons,Icons,CF,Gold
Cristiano Ronaldo,Piemonte Calcio,Italy Serie A,LW,Gold
Cristiano Ronaldo,Piemonte Calcio,Italy Serie A,LW,Gold
Lionel Messi,FC Barcelona,Spain Primera Division,RW,Gold
Ronaldinho,Icons,Icons,LW,Gold
Johan Cruyff,Icons,Icons,CF,Gold
Paolo Maldini,Icons,Icons,CB,Gold
Ronaldo,Icons,Icons,ST,Gold
Garrincha,Icons,Icons,RW,Gold
Zinedine Zidane,Icons,Icons,CAM,Gold
Lionel Messi,FC Barcelona,Spain Primera Division,RW,Gold
Carlos Alberto,Icons,Icons,RB,Gold
Cristiano Ronaldo,Piemonte Calcio,Italy Serie A,ST,Gold
Thierry Henry,Icons,Icons,ST,Gold
George Best,Icons,Icons,RW,Gold
Franco Baresi,Icons,Icons,CB,Gold
Eusébio,Icons,Icons,CF,Gold
Marco van Basten,Icons,Icons,ST,Gold
Ruud Gullit,Icons,Icons,CF,Gold
Lothar Matthäus,Icons,Icons,CM,Gold
Roberto Baggio,Icons,Icons,CAM,Gold
Cristiano Ronaldo,Piemonte Calcio,Italy Serie A,ST,Gold
Eden Hazard,Real Madrid,Spain Primera Division,LF,Gold
Eden Hazard,Real Madrid,Spain Primera Division,LF,Gold
Neymar,Paris Saint-Germain,France Ligue 1,LW,Gold
Kevin De Bruyne,Manchester City,England Premier League,CM,Gold
Eden Hazard,Real Madrid,Spain Primera Division,LW,Gold
Hristo Stoichkov,Icons,Icons,ST,Gold
Dennis Bergkamp,Icons,Icons,CF,Gold
Ruud van Nistelrooy,Icons,Icons,ST,Gold
Emilio Butragueño,Icons,Icons,ST,Gold
Javier Zanetti,Icons,Icons,RB,Gold
Alessandro Nesta,Icons,Icons,CB,Gold
Bobby Moore,Icons,Icons,CB,Gold
Alessandro Del Piero,Icons,Icons,CF,Gold
Luís Figo,Icons,Icons,RW,Gold
Rivaldo,Icons,Icons,LW,Gold
Gary Lineker,Icons,Icons,ST,Gold
Paolo Maldini,Icons,Icons,CB,Gold
Carles Puyol,Icons,Icons,CB,Gold
Raúl,Icons,Icons,CF,Gold
Fabio Cannavaro,Icons,Icons,CB,Gold
Ryan Giggs,Icons,Icons,LM,Gold
Kenny Dalglish,Icons,Icons,ST,Gold
Hugo Sánchez,Icons,Icons,ST,Gold
Andrea Pirlo,Icons,Icons,CM,Gold
Garrincha,Icons,Icons,RW,Gold
Neymar,Paris Saint-Germain,France Ligue 1,LW,Gold
Harry Kane,Tottenham Hotspur,England Premier League,ST,Gold
Robert Lewandowski,Bayern München,Germany 1. Bundesliga,ST,Gold
Harry Kane,Tottenham Hotspur,England Premier League,ST,Gold
Robert Lewandowski,Bayern München,Germany 1. Bundesliga,ST,Gold
Sergio Agüero,Manchester City,England Premier League,ST,Gold
Kevin De Bruyne,Manchester City,England Premier League,CAM,Gold
Eden Hazard,Real Madrid,Spain Primera Division,LW,Gold
Pelé,Icons,Icons,CF,Gold
Johan Cruyff,Icons,Icons,CF,Gold
Lothar Matthäus,Icons,Icons,CDM,Gold
Diego Maradona,Icons,Icons,CAM,Gold
Roberto Baggio,Icons,Icons,CAM,Gold
Robert Pirès,Icons,Icons,LM,Gold
Michael Owen,Icons,Icons,ST,Gold
Patrick Kluivert,Icons,Icons,ST,Gold
Gheorghe Hagi,Icons,Icons,CAM,Gold
Marcel Desailly,Icons,Icons,CB,Gold
Laurent Blanc,Icons,Icons,CB,Gold
Eusébio,Icons,Icons,CF,Gold
Steven Gerrard,Icons,Icons,CM,Gold
Marco van Basten,Icons,Icons,ST,Gold
Michael Ballack,Icons,Icons,CM,Gold
David Trezeguet,Icons,Icons,ST,Gold
Patrick Vieira,Icons,Icons,CM,Gold
Andriy Shevchenko,Icons,Icons,ST,Gold
Ronaldinho,Icons,Icons,CAM,Gold
Pavel Nedvěd,Icons,Icons,LM,Gold
Alan Shearer,Icons,Icons,ST,Gold
Sócrates,Icons,Icons,CAM,Gold
Clarence Seedorf,Icons,Icons,CAM,Gold
Paul Scholes,Icons,Icons,CM,Gold
Miroslav Klose,Icons,Icons,ST,Gold
Franco Baresi,Icons,Icons,CB,Gold
Ian Rush,Icons,Icons,ST,Gold
Roberto Carlos,Icons,Icons,LB,Gold
Michael Laudrup,Icons,Icons,CAM,Gold
Ronald Koeman,Icons,Icons,CB,Gold
Fernando Hierro,Icons,Icons,CB,Gold
Kaká,Icons,Icons,CAM,Gold
Didier Drogba,Icons,Icons,ST,Gold
Zinedine Zidane,Icons,Icons,CM,Gold
Kevin De Bruyne,Manchester City,England Premier League,CAM,Gold
Eden Hazard,Real Madrid,Spain Primera Division,LW,Gold
David Villa,Vissel Kobe,Japan J1 League,ST,Gold
Thiago Silva,Paris Saint-Germain,France Ligue 1,CB,Gold
N'Golo Kanté,Chelsea,England Premier League,CDM,Gold
Piqué,FC Barcelona,Spain Primera Division,CB,Gold
Kylian Mbappé,Paris Saint-Germain,France Ligue 1,LW,Gold
Antoine Griezmann,FC Barcelona,Spain Primera Division,LW,Gold
Kylian Mbappé,Paris Saint-Germain,France Ligue 1,LW,Gold
Toni Kroos,Real Madrid,Spain Primera Division,CM,Gold
Antoine Griezmann,FC Barcelona,Spain Primera Division,LW,Gold
Harry Kane,Tottenham Hotspur,England Premier League,ST,Gold
Robert Lewandowski,Bayern München,Germany 1. Bundesliga,ST,Gold
Harry Kane,Tottenham Hotspur,England Premier League,ST,Gold
Robert Lewandowski,Bayern München,Germany 1. Bundesliga,ST,Gold
Carlos Alberto,Icons,Icons,RB,Gold
Virgil van Dijk,Liverpool,England Premier League,CB,Gold
Mohamed Salah,Liverpool,England Premier League,RW,Gold
Luka Modrić,Real Madrid,Spain Primera Division,CM,Gold
Antoine Griezmann,FC Barcelona,Spain Primera Division,CF,Gold
Robert Lewandowski,Bayern München,Germany 1. Bundesliga,ST,Gold
Emilio Butragueño,Icons,Icons,ST,Gold
Ronaldo,Icons,Icons,ST,Gold
Carles Puyol,Icons,Icons,CB,Gold
Dennis Bergkamp,Icons,Icons,CAM,Gold
Rivaldo,Icons,Icons,CF,Gold
Alessandro Nesta,Icons,Icons,CB,Gold
Ruud Gullit,Icons,Icons,CM,Gold
Hristo Stoichkov,Icons,Icons,LW,Gold
George Best,Icons,Icons,RW,Gold
Luís Figo,Icons,Icons,RW,Gold
Roy Keane,Icons,Icons,CM,Gold
Rui Costa,Icons,Icons,CAM,Gold
Frank Rijkaard,Icons,Icons,CDM,Gold
Emmanuel Petit,Icons,Icons,CDM,Gold
Marc Overmars,Icons,Icons,LM,Gold
Jay-Jay Okocha,Icons,Icons,CAM,Gold
Jari Litmanen,Icons,Icons,CAM,Gold
Henrik Larsson,Icons,Icons,ST,Gold
Filippo Inzaghi,Icons,Icons,ST,Gold
Luis Hernández,Icons,Icons,ST,Gold
Rio Ferdinand,Icons,Icons,CB,Gold
Deco,Icons,Icons,CM,Gold
Hernán Crespo,Icons,Icons,ST,Gold
Christian Vieri,Icons,Icons,ST,Gold
Ruud van Nistelrooy,Icons,Icons,ST,Gold
Thierry Henry,Icons,Icons,LW,Gold
Alessandro Del Piero,Icons,Icons,CF,Gold
Claude Makélélé,Icons,Icons,CDM,Gold
Juan Sebastián Verón,Icons,Icons,CM,Gold
Frank Lampard,Icons,Icons,CM,Gold
Garrincha,Icons,Icons,RW,Gold
Guardiola,Icons,Icons,CDM,Gold
Michaël Essien,Icons,Icons,CDM,Gold
Gianfranco Zola,Icons,Icons,CF,Gold
Kenny Dalglish,Icons,Icons,CF,Gold
Andrea Pirlo,Icons,Icons,CM,Gold
Virgil van Dijk,Liverpool,England Premier League,CB,Gold
Luka Modrić,Real Madrid,Spain Primera Division,CM,Gold
Mohamed Salah,Liverpool,England Premier League,RW,Gold
Toni Kroos,Real Madrid,Spain Primera Division,CM,Gold
Toni Kroos,Real Madrid,Spain Primera Division,CM,Gold
Paulo Dybala,Piemonte Calcio,Italy Serie A,CAM,Gold
Sadio Mané,Liverpool,England Premier League,LW,Gold
Lorenzo Insigne,Napoli,Italy Serie A,CF,Gold
Paulo Dybala,Piemonte Calcio,Italy Serie A,ST,Gold
Pierre-Emerick Aubame...,Arsenal,England Premier League,ST,Gold
